Date,Price,MarketCap,BlockSize,GoldPrice,GTrends,HashRate,MempoolCount,MempoolSize,MinningDifficulty,TransactionPerDay,TransactionFee,TransactionVolume_USD
2017-05-10,1787.13,29170965564,987770,1274.7,31,4021861.58655,73096131.0,73096131.0,521975000000,333786,302.96153363,915723008
2017-05-11,1848.57,30176934751,960619,1280.0,32,4119773.0024099997,95735528.5,95735528.5,559971000000,310565,303.26495895,799489984
2017-05-12,1724.24,28150631936,961251,1282.8,34,3757901.04949,106529345.0,106529345.0,559971000000,296048,279.58022914,740984000
2017-05-13,1804.91,29471223857,949541,1285.1,32,4286790.826830001,97595747.0,97595747.0,559971000000,314692,322.05057537,579635008
2017-05-14,1808.91,29540290794,959925,1285.1,29,4398136.04311,84155131.0,84155131.0,559971000000,330290,301.19440047,437196000
2017-05-15,1738.43,28392885375,975155,1285.1,35,4565153.86753,89949017.5,89949017.5,559971000000,369626,297.47622441,731529024
2017-05-16,1734.45,28330874003,970705,1291.5,31,4732171.69195,115033202.0,115033202.0,559971000000,329174,327.30377033,959044992
2017-05-17,1839.09,30043626195,973989,1313.3,29,3674392.1372800004,100513919.5,100513919.5,559971000000,231174,343.40900559,1064729984
2017-05-18,1888.65,30856574835,981876,1306.3,27,4314627.1309,99161933.5,99161933.5,559971000000,320234,485.93611219999997,894321024
2017-05-19,1987.71,32479082015,974526,1307.0,34,3952755.17798,93719150.5,93719150.5,559971000000,292129,392.02141315,1157289984
2017-05-20,2084.73,34068630559,971321,1315.1,34,4565153.86753,98265216.5,98265216.5,559971000000,316575,442.811934,961336000
2017-05-21,2041.2,33361091114,967220,1315.1,34,4592990.1716,96461175.5,96461175.5,559971000000,354658,387.7538543,1147859968
2017-05-22,2173.4,35525744380,976775,1315.1,68,4091936.69834,111841794.0,111841794.0,559971000000,320772,352.78845637,1942220032
2017-05-23,2320.42,37933704066,980481,1309.2,71,4064100.39426,107512561.0,107512561.0,559971000000,331832,406.63804239,1378749952
2017-05-24,2443.64,39952841999,972750,1306.8,75,4976737.78165,119647709.0,119647709.0,595922000000,368883,468.38356854,1725379968
2017-05-25,2304.98,37690456715,977007,1310.4,100,4562009.63318,103848425.0,103848425.0,595922000000,337300,472.94001691,2406700032
2017-05-26,2202.42,36017660894,976892,1321.9,76,4828620.58577,108851732.5,108851732.5,595922000000,350697,498.87943053,1763480064
2017-05-27,2038.87,33347170525,958704,1268.22,58,4532386.194,106991705.0,106991705.0,595922000000,333246,469.79624965,1700480000
2017-05-28,2155.8,35264171110,991469,1268.22,44,4976737.78165,97035179.0,97035179.0,595922000000,331118,528.8278222,1147139968
2017-05-29,2255.61,36901102917,978038,1266.69,40,4887867.46412,92041549.75,92041549.75,595922000000,303810,421.48503001,994625024
2017-05-30,2175.47,35594903085,977829,1316.2,44,4473139.31565,103435857.0,103435857.0,595922000000,327067,494.90441559,1443970048
2017-05-31,2286.41,37414813240,980658,1325.6,43,5302595.61259,100114538.5,100114538.5,595922000000,348282,588.38790095,1544829952
2017-06-01,2407.88,39407633763,976593,1320.3,42,4858244.02495,105104489.5,105104489.5,595922000000,320570,570.4198544,1653180032
2017-06-02,2488.55,40732491835,977793,1330.2,38,5035984.66001,102743600.0,102743600.0,595922000000,319518,569.07004507,1317030016
2017-06-03,2515.35,41177190057,982052,1332.7,34,4325022.11977,87399534.0,87399534.0,595922000000,263977,470.15193004,1514950016
2017-06-04,2511.81,41124262595,981052,1332.7,30,5687700.32189,89623170.5,89623170.5,595922000000,306401,545.64725387,1355120000
2017-06-05,2686.81,43994968834,982370,1332.7,38,5432357.04185,66188184.0,66188184.0,678760000000,271739,441.99355556,1369309952
2017-06-06,2863.2,46888622160,962904,1347.1,54,5533581.08611,64055478.5,64055478.5,678760000000,289433,475.43804182,2089609984
2017-06-07,2732.16,44748237218,991696,1342.7,51,5094943.56099,73241556.75,73241556.75,678760000000,299875,511.33813564,1517709952
2017-06-08,2805.62,45957247989,992122,1329.0,40,5567322.43419,58234333.5,58234333.5,678760000000,338586,668.13204735,1281170048
