Date,Price,MarketCap,BlockSize,GoldPrice,GTrends,HashRate,MempoolCount,MempoolSize,MinningDifficulty,TransactionPerDay,TransactionFee,TransactionVolume_USD
2016-10-12,636.19,10127644784,924003,1296.6,67,1786321.73,5731935.5,5731935.5,258523000000,262381,80.75,92370200
2016-10-13,636.79,10138078870,857097,1301.2,58,1863429.15,5563501.5,5563501.5,258523000000,233861,69.03,61620700
2016-10-14,640.38,10196303437,919213,1299.3,54,1644958.14,3006809.5,3006809.5,258523000000,230869,67.12,58144600
2016-10-15,638.65,10169814232,858046,1300.7,56,1747768.03,4291901.5,4291901.5,258523000000,237969,68.01,39035400
2016-10-16,641.63,10218348388,773340,1300.7,58,1824875.44,1696010.5,1696010.5,258523000000,209941,62.6,40298100
2016-10-17,639.19,10180488274,769884,1300.7,54,1670660.61,2268805.0,2268805.0,258523000000,199380,57.54,58063600
2016-10-18,637.96,10162029114,929626,1307.5,57,1606404.44,4647785.5,4647785.5,258523000000,238308,72.44,65546700
2016-10-19,630.52,10044471117,841827,1314.3,56,1991941.5,8980878.0,8980878.0,258523000000,249890,77.24,69381696
2016-10-20,630.86,10050854099,807448,1312.6,52,1619255.67,9007670.0,9007670.0,258523000000,193894,63.05,56957300
2016-10-21,632.83,10083501603,977453,1312.1,53,1722065.56,2114750.0,2114750.0,258523000000,277881,89.31,55951000
2016-10-22,657.29,10474463658,773349,1306.3,55,2107602.62,5241511.5,5241511.5,258523000000,259606,76.08,78556496
2016-10-23,657.07,10472100602,813241,1306.3,60,1878507.28,2144034.5,2144034.5,253618000000,218557,66.62,54474600
2016-10-24,653.76,10420469172,792472,1306.3,52,1815470.12,1869831.5,1869831.5,253618000000,192805,67.49,62218200
2016-10-25,657.59,10482565592,886375,1317.7,57,1802862.69,10362527.5,10362527.5,253618000000,224797,81.14,90378800
2016-10-26,678.3,10813913071,943930,1310.7,71,1752432.96,26407464.0,26407464.0,253618000000,238593,99.09,88877104
2016-10-27,688.31,10974828655,974398,1315.6,72,1752432.96,6790333.5,6790333.5,253618000000,221912,125.06,96105296
2016-10-28,689.65,10997420362,977626,1322.7,71,2042403.89,1958919.5,1958919.5,253618000000,332738,111.04,81145504
2016-10-29,714.48,11394596830,803986,1319.3,81,1916329.57,4977001.5,4977001.5,253618000000,244844,82.18,134760992
2016-10-30,701.86,11194834676,780294,1319.3,70,1878507.28,2169649.5,2169649.5,253618000000,231753,73.16,100665000
2016-10-31,700.97,11181852070,620427,1319.3,69,2130655.91,5910837.0,5910837.0,253618000000,205888,62.96,97064400
2016-11-01,729.79,11642863554,821732,1334.4,32,1853292.41,3050214.5,3050214.5,253618000000,245090,76.3,130527000
2016-11-02,740.83,11820110421,857061,1354.4,32,1815470.12,8211178.0,8211178.0,253618000000,248724,78.88,84865200
2016-11-03,688.7,10989660280,901549,1350.2,30,1676788.37,2127630.5,2127630.5,253618000000,266541,79.52,172808000
2016-11-04,703.23,11222575748,835649,1352.1,29,1966759.3,5180880.75,5180880.75,253618000000,273554,79.22,99907696
2016-11-05,703.42,11226736982,956644,1326.8,27,1462462.04,3513685.5,3513685.5,253618000000,246912,84.33,53752300
2016-11-06,711.52,11357385316,783016,1326.8,24,1885928.48,2385320.0,2385320.0,254620000000,236590,74.56,59902200
2016-11-07,703.13,11224670783,733418,1326.8,26,1949214.67,6043784.0,6043784.0,254620000000,224275,71.77,65047100
2016-11-08,709.85,11333339468,893414,1322.6,24,1847956.77,3862176.5,3862176.5,254620000000,278006,91.27,79660800
2016-11-09,723.27,11548965779,865388,1322.1,41,2139073.24,6358161.5,6358161.5,254620000000,293639,89.25,132429000
2016-11-10,715.53,11426817526,892891,1313.0,28,1860614.01,2070625.5,2070625.5,254620000000,272452,83.73,68807800
